N (x10^5);a (mm);Torque (Nm);n (rpm);Temp (ºC)
3,7944434729454777; 0,7365964635015452;1;1000;50
4,8104876265449334; 0,7861968827194361;1;1000;50
5,621578726549195; 0,8041463690281185;1;1000;50
6,582689339; 0,8181181278049467;1;1000;50
7,463707890807957; 0,8309451548039788;1;1000;50
8,344603079010348; 0,8388376554943422;1;1000;50
9,225272101423592; 0,8376835246188152;1;1000;50
10,106157009362843; 0,8451648147834572;1;1000;50
11,158795742242187; 0,8602182530574711;1;1000;50
12,028549083342863; 0,8799422596455475;1;1000;50
12,90971498514136; 0,8986633041799337;1;1000;50
13,87104981; 0,9216033687082303;1;1000;50
14,752315083359345; 0,9442994483245983;1;1000;50
15,633875061911656; 0,9787835630116732;1;1000;50
16,49167735234035; 1,023721471683662;1;1000;50
17,38195448002482; 1,086637778680581;1;1000;50
18,27344570678648; 1,1690040694038166;1;1000;50
18,781602809766394; 1,2641312228698407;1;1000;50
19,326813604044478; 1,3795896791750915;1;1000;50
19,737243528780336; 1,4897599834276507;1;1000;50
19,83309783907509; 1,6150982693740565;1;1000;50
0,09167979; 0,049535956691928895;1;1000;65
0,2599754074542595; 0,10940706698564107;1;1000;65
0,4420294441432766; 0,18585864257706142;1;1000;65
0,6762278882351076; 0,26643698993445675;1;1000;65
0,8458861549639458; 0,32743842658326283;1;1000;65
0,9874376682465034; 0,3850579307983528;1;1000;65
1,2492528399081309; 0,4494171755300318;1;1000;65
1,4670165699885906;0,513114508;1;1000;65
1,732851838552314; 0,5781507427126673;1;1000;65
2,094830184082543; 0,6458647799833641;1;1000;65
2,5364565816908105; 0,6969631706113746;1;1000;65
3,0176619923998516;0,72995322;1;1000;65
3,4987354730652243; 0,7576660684185059;1;1000;65
3,9796581765378285; 0,7793478287380924;1;1000;65
4,460656268606822; 0,8040451329129756;1;1000;65
4,941597819228527; 0,8264807791963866;1;1000;65
5,422256662613794; 0,8376081360224328;1;1000;65
5,9027647288062965; 0,8427044051378854;1;1000;65
6,3834424193406605; 0,8545856479277556;1;1000;65
6,863969332682263; 0,8604358030070323;1;1000;65
7,344477398874766; 0,8655320721224844;1;1000;65
7,824872382172696; 0,8661050254549907;1;1000;65
8,305493531259774; 0,8757246103533891;1;1000;65
8,78598275; 0,8800669935050167;1;1000;65
9,266490816495683; 0,8851632626204688;1;1000;65
9,747036576986382; 0,8917673036635696;1;1000;65
10,227412713135216; 0,8915863710322518;1;1000;65
10,708033862222297; 0,9012059559306498;1;1000;65
11,188711552756661; 0,9130871987205209;1;1000;65
11,66931385469464; 0,9219528976550939;1;1000;65
